año;mes;sigla;provincia;pacientes_total;tasa_pacientes_total;pacientes_residencias;tasa_pacientes_residencias
2020;Marzo;SO;Soria;188;2.151768342;82;2.912966252
2020;Abril;AV;Ávila;394;2.650253927;187;4.35694315
2020;Abril;VA;Valladolid;879;1.689273593;435;4.920257889
2020;Abril;ZA;Zamora;348;2.198204799;116;2.498922878
2020;Mayo;AV;Ávila;177;1.193566877;78;1.817334576
2020;Mayo;VA;Valladolid;429;0.826151846;150;1.696640652
2020;Junio;SA;Salamanca;290;0.906402955;90;1.130795326
2020;Junio;SO;Soria;98;1.126553322;34;1.207815275
2020;Junio;VA;Valladolid;426;0.821022809;116;1.312068771
2020;Junio;ZA;Zamora;177;1.121090435;34;0.732442913
2020;Julio;SE;Segovia;193;1.329640653;80;2.468373959
2020;Julio;VA;Valladolid;455;0.8771896;162;1.832371904
2020;Agosto;AV;Ávila;178;1.200658339;66;1.537744641
2020;Agosto;PA;Palencia;186;1.215710112;73;1.426338413
2020;Agosto;SA;Salamanca;368;1.152203589;119;1.495162709
2020;Agosto;SO;Soria;97;1.114033375;40;1.420959147
2020;Agosto;ZA;Zamora;223;1.412366759;70;1.507970702
2020;Septiembre;AV;Ávila;167;1.12590595;64;1.491146319
2020;Septiembre;LE;León;475;1.099903672;113;1.32816173
2020;Septiembre;PA;Palencia;190;1.24213045;61;1.191871825
2020;Septiembre;SE;Segovia;126;0.867422104;38;1.17247763
2020;Noviembre;SE;Segovia;120;0.824226772;41;1.265041654
2020;Noviembre;SO;Soria;120;1.374523212;37;1.314387211
2020;Diciembre;PA;Palencia;260;1.705521955;118;2.30558812
2020;Diciembre;SO;Soria;110;1.26002291;32;1.136767318
2020;Diciembre;ZA;Zamora;315;2.006714531;108;2.326583369
2020;Enero;AV;Ávila;213;1.429041066;78;1.817334576
2020;Enero;LE;León;662;1.524885346;172;2.021626704
2020;Enero;PA;Palencia;233;1.51589083;76;1.484955061
2020;Enero;SA;Salamanca;429;1.334469758;157;1.972609624
2020;Enero;SO;Soria;126;1.443795119;45;1.598579041
2020;Febrero;BU;Burgos;351;1.004849616;128;1.692673896
2020;Febrero;PA;Palencia;212;1.380846615;65;1.270027354
2020;Febrero;VA;Valladolid;432;0.829623712;129;1.45911096
2020;Marzo;SA;Salamanca;540;1.679031385;177;2.223897475
2020;Marzo;ZA;Zamora;211;1.331532714;63;1.357173632
2020;Abril;SA;Salamanca;835;2.598437203;364;4.573438874
2020;Abril;SE;Segovia;682;4.673441558;357;11.01511879
2020;Mayo;BU;Burgos;332;0.954288983;114;1.507537688
2020;Mayo;LE;León;622;1.43820682;234;2.750352609
2020;Mayo;PA;Palencia;176;1.150687797;67;1.309105119
2020;Junio;AV;Ávila;175;1.180653475;53;1.234855545
2020;Junio;LE;León;491;1.136653008;141;1.657263752
2020;Junio;PA;Palencia;174;1.138311374;46;0.898788589
2020;Julio;AV;Ávila;175;1.180637544;55;1.281453868
2020;Julio;BU;Burgos;390;1.121492102;118;1.560433748
2020;Julio;SA;Salamanca;437;1.366979164;147;1.846965699
2020;Julio;SO;Soria;102;1.172319469;24;0.852575488
2020;Julio;ZA;Zamora;233;1.475953986;64;1.378716071
2020;Agosto;BU;Burgos;275;0.790452484;83;1.097593229
2020;Agosto;SE;Segovia;136;0.936910126;42;1.295896328
2020;Agosto;VA;Valladolid;447;0.861935981;150;1.696640652
2020;Septiembre;SO;Soria;75;0.860595073;21;0.746003552
2020;Septiembre;VA;Valladolid;417;0.803892614;110;1.244203144
2020;Octubre;LE;León;643;1.488956711;206;2.421250588
2020;Octubre;PA;Palencia;206;1.347435621;62;1.211410707
2020;Octubre;SO;Soria;95;1.089199725;31;1.101243339
2020;Octubre;ZA;Zamora;280;1.776075001;83;1.788022404
2020;Noviembre;AV;Ávila;190;1.277491276;53;1.234855545
2020;Noviembre;BU;Burgos;510;1.464154063;168;2.221634488
2020;Noviembre;LE;León;695;1.609918022;207;2.433004231
